Epoch:1,Loss:1.7584839132097032,Accuracy:0.22545454545454546,
Epoch:2,Loss:1.7215153906080458,Accuracy:0.28909090909090907,
Epoch:3,Loss:1.6567394336064656,Accuracy:0.4,
Epoch:4,Loss:1.6108852359983656,Accuracy:0.40545454545454546,
Epoch:5,Loss:1.5581791268454657,Accuracy:0.4581818181818182,
Epoch:6,Loss:1.508432428042094,Accuracy:0.4618181818181818,
Epoch:7,Loss:1.4435192081663344,Accuracy:0.5381818181818182,
Epoch:8,Loss:1.4034935633341472,Accuracy:0.5145454545454545,
Epoch:9,Loss:1.3467784192827013,Accuracy:0.52,
Epoch:10,Loss:1.2950075997246637,Accuracy:0.5563636363636364,
Epoch:11,Loss:1.251409371693929,Accuracy:0.5672727272727273,
Epoch:12,Loss:1.2003139389885797,Accuracy:0.5909090909090909,
Epoch:13,Loss:1.1511001851823595,Accuracy:0.5872727272727273,
Epoch:14,Loss:1.0928815205891926,Accuracy:0.64,
Epoch:15,Loss:1.0894232855902777,Accuracy:0.6181818181818182,
Epoch:16,Loss:1.0241297019852533,Accuracy:0.6618181818181819,
Epoch:17,Loss:1.0240063534842596,Accuracy:0.6509090909090909,
Epoch:18,Loss:0.9869895577430725,Accuracy:0.64,
Epoch:19,Loss:0.9265982111295065,Accuracy:0.6927272727272727,
Epoch:20,Loss:0.9186012148857117,Accuracy:0.6872727272727273,
Epoch:21,Loss:0.9059053129620023,Accuracy:0.6727272727272727,
Epoch:22,Loss:0.8586895134713914,Accuracy:0.6963636363636364,
Epoch:23,Loss:0.8226434787114462,Accuracy:0.7218181818181818,
Epoch:24,Loss:0.7917071315977309,Accuracy:0.7236363636363636,
Epoch:25,Loss:0.777399738629659,Accuracy:0.7418181818181818,
Epoch:26,Loss:0.8032632337676154,Accuracy:0.7090909090909091,
Epoch:27,Loss:0.7693526148796082,Accuracy:0.7327272727272728,
Epoch:28,Loss:0.7590376734733582,Accuracy:0.7345454545454545,
Epoch:29,Loss:0.757996678352356,Accuracy:0.7381818181818182,
Epoch:30,Loss:0.7363328138987223,Accuracy:0.7381818181818182,
Epoch:31,Loss:0.6933041744761996,Accuracy:0.7490909090909091,
Epoch:32,Loss:0.6754462917645773,Accuracy:0.7581818181818182,
Epoch:33,Loss:0.6746889253457388,Accuracy:0.7654545454545455,
Epoch:34,Loss:0.6501316560639275,Accuracy:0.7654545454545455,
Epoch:35,Loss:0.5980572766727872,Accuracy:0.7890909090909091,
Epoch:36,Loss:0.6352643966674805,Accuracy:0.7872727272727272,
Epoch:37,Loss:0.5897262858019935,Accuracy:0.8072727272727273,
Epoch:38,Loss:0.5876354575157166,Accuracy:0.7836363636363637,
Epoch:39,Loss:0.6045940452151828,Accuracy:0.7872727272727272,
Epoch:40,Loss:0.5831516252623664,Accuracy:0.7963636363636364,
Epoch:41,Loss:0.5417778922451867,Accuracy:0.8145454545454546,
Epoch:42,Loss:0.5101158751381768,Accuracy:0.8309090909090909,
Epoch:43,Loss:0.5091681844658322,Accuracy:0.84,
Epoch:44,Loss:0.5078818599383036,Accuracy:0.8181818181818182,
Epoch:45,Loss:0.47567815913094413,Accuracy:0.8327272727272728,
Epoch:46,Loss:0.4686415063010322,Accuracy:0.8490909090909091,
Epoch:47,Loss:0.4763435423374176,Accuracy:0.8345454545454546,
Epoch:48,Loss:0.47370381156603497,Accuracy:0.8327272727272728,
Epoch:49,Loss:0.40604011217753094,Accuracy:0.86,
Epoch:50,Loss:0.45773788955476546,Accuracy:0.8381818181818181,
Epoch:51,Loss:0.39326418108410305,Accuracy:0.88,
Epoch:52,Loss:0.42410483956336975,Accuracy:0.8436363636363636,
Epoch:53,Loss:0.415171355009079,Accuracy:0.850909090909091,
Epoch:54,Loss:0.39610129925939774,Accuracy:0.850909090909091,
Epoch:55,Loss:0.33950232300493455,Accuracy:0.88,
Epoch:56,Loss:0.37255868315696716,Accuracy:0.86,
Epoch:57,Loss:0.39317705896165633,Accuracy:0.8872727272727273,
Epoch:58,Loss:0.3346681081586414,Accuracy:0.8872727272727273,
Epoch:59,Loss:0.3192957904603746,Accuracy:0.8963636363636364,
Epoch:60,Loss:0.3476458705133862,Accuracy:0.8763636363636363,
Epoch:61,Loss:0.317570040623347,Accuracy:0.8927272727272727,
Epoch:62,Loss:0.30203378697236377,Accuracy:0.8963636363636364,
Epoch:63,Loss:0.2929479049311744,Accuracy:0.9054545454545454,
Epoch:64,Loss:0.32084305418862236,Accuracy:0.9054545454545454,
Epoch:65,Loss:0.28805797961023116,Accuracy:0.92,
Epoch:66,Loss:0.299967411491606,Accuracy:0.8927272727272727,
Epoch:67,Loss:0.2817198683818181,Accuracy:0.8963636363636364,
Epoch:68,Loss:0.27272750933965045,Accuracy:0.9109090909090909,
Epoch:69,Loss:0.2909758670462502,Accuracy:0.8927272727272727,
Epoch:70,Loss:0.2901356402370665,Accuracy:0.9054545454545454,
Epoch:71,Loss:0.2784298294120365,Accuracy:0.8909090909090909,
Epoch:72,Loss:0.2489200366867913,Accuracy:0.9181818181818182,
Epoch:73,Loss:0.20383671753936344,Accuracy:0.9327272727272727,
Epoch:74,Loss:0.25927742487854427,Accuracy:0.9,
Epoch:75,Loss:0.25415827499495613,Accuracy:0.9145454545454546,
Epoch:76,Loss:0.2598874320586522,Accuracy:0.9090909090909091,
Epoch:77,Loss:0.21968946440352333,Accuracy:0.9309090909090909,
Epoch:78,Loss:0.20167367077536053,Accuracy:0.9345454545454546,
Epoch:79,Loss:0.19181596984465918,Accuracy:0.9436363636363636,
